ID,Source,Target,Match,Comment
SHIZNVRkbaS9wJZp_dc8:9:1,(気が進まない習慣),英文不要です。,,
SHIZNVRkbaS9wJZp_dc8:10:0,Positive Habits,Positive Habits,,
SHIZNVRkbaS9wJZp_dc8:10:1,(より良い習慣),(Better habits),,
SHIZNVRkbaS9wJZp_dc8:11,習慣による価値創出,Value Creation through Habits,88,
SHIZNVRkbaS9wJZp_dc8:12,習慣の効用・質,Benefit and quality of habit,87,
SHIZNVRkbaS9wJZp_dc8:13,実践の頻度,Frequency of engaging in habit,100,
SHIZNVRkbaS9wJZp_dc8:14,定着した人数,No. of people adopting habit,100,
SHIZNVRkbaS9wJZp_dc8:15,PHsによる市場創出,Markets Created by Positive Habits,,
SHIZNVRkbaS9wJZp_dc8:16,ユニークネス,Uniqueness,,
SHIZNVRkbaS9wJZp_dc8:17,競争優位,Competitive advantage,,
SHIZNVRkbaS9wJZp_dc8:18,Positive Habits創出に向けた価値開発プロセスの変革,Transforming the Value Development Process to Create Positive Habits,50,
SHIZNVRkbaS9wJZp_dc8:19,Positive Habitsの創出に向けて、“一歩先の社会潮流の発見”を捉える新たな価値開発とその価値を磨き込むプロセスを導入し、実践に繋げていきます。,"We will create Positive Habits by introducing a process for new value development through which we can anticipate emerging social trends, refine that value, and put it into practice.",,
SHIZNVRkbaS9wJZp_dc8:20,①新たな価値開発プロセス：　従来の既存の技術シーズや顧客調査を起点とした仮説立案型のプロセスだけでなく、今後は独自のAIを駆使して、 SNS等の膨大な情報を解析することで、日常生活の中でやってきた当たり前の習慣の中で、消費者自身も気づいていない一歩先の社会潮流（事業機会）を捉えるプロセスを導入していきます。,"1. New Value Development Process: In addition to our conventional hypothesis-based process built around existing technologies and customer surveys, we will introduce a process that uses proprietary AI to analyze vast amounts of information from social media and other sources to identify emerging social trends—new business opportunities—that are present in everyday routines and often go unnoticed by consumers themselves.",,
SHIZNVRkbaS9wJZp_dc8:21,この新たなアプローチは日本にとどまらず、中国主要ＳＮＳやEC投稿データをAI分析するなど、国内外の消費者のインサイトを先取りして捉え、価値創出の提案力を強化していきます。,"Lion will not limit its new approach to Japan. We will also use AI to analyze data from posts on major social media platforms and e-commerce sites in China, along with other measures that enable us to proactively identify consumer insights both in and outside Japan, enhancing our ability to make proposals that create value.",,
SHIZNVRkbaS9wJZp_dc8:22,②価値を磨き込むプロセス：　メディア、リテール等の接点増加や消費者の価値観の多様化により、従来のマスを捉える一方通行の提案では、真に消費者に受け入れられる価値提供は難しくなってきています。,"2. Value Refining Process: As points of contact in areas such as media and retail continue to increase, and consumer values become more diverse, it is becoming more difficult to deliver value that truly connects through traditional one-way mass-market proposals.",,
SHIZNVRkbaS9wJZp_dc8:23,私たちは、捉えた一歩先の潮流に基づく価値を、ECモールや一部リテールに限定した小規模スケールから提案をはじめ、消費者の行動パターンや嗜好を分析しながら、多様な消費者に共感を得られるものに製品・コミュニケーションを改善・改良していく価値開発プロセスを国内外で導入していきます。,"Through a value development process deployed both in Japan and overseas, we will begin by introducing small-scale value propositions based on emerging trends, limited to e-commerce malls and select retail outlets. By analyzing consumer behavior patterns and preferences, we will refine these offerings into products and services that resonate with a diverse range of consumers.",,
SHIZNVRkbaS9wJZp_dc8:24,また、日本では、すでに保有しているオウンドメディア（Lidea）を双方向のデータ検証プラットフォームとして洗練化し、直接的に消費者の反応を捉えることで、より最適なコミュニケーションや製品アクションの実現を目指していきます。,"In Japan in particular, Lion will further refine its Lidea media platform into a two-way data verification platform. Our objective is to directly capture consumer reactions to further improve communication and product responses.",,"https://lidea.today/about?from=navi_about01
============
?? What are they?
--------------------
Thanks for asking. I changed ""actions"" to ""responses"" based on some further research."
SHIZNVRkbaS9wJZp_dc8:25,一歩先の新しい価値を開発し、製品・サービスを通じて提案することで、共感して頂けるお客様の拡大につながり、使っていただける人・頻度が増え、当たり前の習慣になっていく。,"By proactively developing value that anticipates emerging needs and proposing it through our products and services—while deepening our understanding of consumers—we aim to grow the number of customers who resonate with our ideas, increase both the number of users and frequency of use, and help these behaviors become everyday habits.",,"increase the frequency and number of people who use...?「使っていただける人・頻度」の「頻度」が訳されていないようです.  
--------------------
both the number of users and the frequency of useに変えました。
============
Do you ""develop emerging value""??
--------------------
Changes to ""developing value that anticipates emerging needs""
============
Won't those two things be basically the same?
--------------------
Yes, but that is what it says."
SHIZNVRkbaS9wJZp_dc8:26,これを連続的に生み出して社会に貢献していくことが私たちの目指すPositive Habits創出です。,Continuously implementing this approach for the benefit of society is what we mean by creating Positive Habits.,48,
SHIZNVRkbaS9wJZp_dc8:27:0,①　新たな価値開発プロセス（一歩先の社会潮流の発見）,1. New Value Development Process (Identify emerging social trends),,
SHIZNVRkbaS9wJZp_dc8:29,オープンデータからのデータ取得,Acquire data from open data sources,,
SHIZNVRkbaS9wJZp_dc8:30,AIによるデータの解析,Use AI to analyze data,,
SHIZNVRkbaS9wJZp_dc8:31,世の中の潮流・兆しベース起点のインサイトを発見する,Identify insights based on emerging societal trends and signals,,
SHIZNVRkbaS9wJZp_dc8:32:0,価値を磨き込むプロセス（スモールスタート>,2. Value Refining Process (Begin on a small scale),,"ゲラに合わせて和文の冒頭に②を付けてください
--------------------
本文の英文に合わせました。"
SHIZNVRkbaS9wJZp_dc8:34,ECモールや一部小売店限定でローンチ,Limit launches to e-commerce malls and select retail outlets,,
SHIZNVRkbaS9wJZp_dc8:35,オウンド・リテールメディア等を通したデジタルマーケティングや顧客との対話によるプロトタイピング,Prototype through digital marketing and customer dialogue via channels including owned and retail media,,"げらの和文はまちがっていますか？：
オウンド・リテールメディアなどを適した適したデジタルマーケティングや顧客との対話によるプロトタイピング

適したのダブりと適したはたぶん「通した」になるべき。ご確認ください。"
SHIZNVRkbaS9wJZp_dc8:36,購買データ・行動データ・口コミ・レビュー等を活用した分析と製品・コミュニケーションの改良,"Analyze purchasing data, behavioral data, word of mouth, reviews, and other information to improve products and communication",,"product and communication
製品「と」コミュニケーション

--------------------
承知しました。修正しました。
============
ゲラでは文末の「の改良」はありません。ご確認、ご対応をお願いいたします。"
